machine, port, rdma_mac, eth_mac
0, 0, 14:02:ec:ca:e4:dc, 14:02:ec:ca:e4:e0
0, 1, 14:02:ec:ca:e4:dd, 14:02:ec:ca:e4:e1
0, 2, 14:02:ec:ca:e4:de, 14:02:ec:ca:e4:e2
0, 3, 14:02:ec:ca:e4:df, 14:02:ec:ca:e4:e3
0, 4, 14:02:ec:ca:e7:e8, 14:02:ec:ca:e7:ec
0, 5, 14:02:ec:ca:e7:e9, 14:02:ec:ca:e7:ed
0, 6, 14:02:ec:ca:e7:ea, 14:02:ec:ca:e7:ee
0, 7, 14:02:ec:ca:e7:eb, 14:02:ec:ca:e7:ef
1, 0, 14:02:ec:ca:e8:88, 14:02:ec:ca:e8:8c
1, 1, 14:02:ec:ca:e8:89, 14:02:ec:ca:e8:8d
1, 2, 14:02:ec:ca:e8:8a, 14:02:ec:ca:e8:8e
1, 3, 14:02:ec:ca:e8:8b, 14:02:ec:ca:e8:8f
1, 4, 14:02:ec:ca:e4:b4, 14:02:ec:ca:e4:b8
1, 5, 14:02:ec:ca:e4:b5, 14:02:ec:ca:e4:b9
1, 6, 14:02:ec:ca:e4:b6, 14:02:ec:ca:e4:ba
1, 7, 14:02:ec:ca:e4:b7, 14:02:ec:ca:e4:bb
2, 0, 14:02:ec:ca:e7:c0, 14:02:ec:ca:e7:c4
2, 1, 14:02:ec:ca:e7:c1, 14:02:ec:ca:e7:c5
2, 2, 14:02:ec:ca:e7:c2, 14:02:ec:ca:e7:c6
2, 3, 14:02:ec:ca:e7:c3, 14:02:ec:ca:e7:c7
2, 4, 14:02:ec:ca:e5:2c, 14:02:ec:ca:e5:30
2, 5, 14:02:ec:ca:e5:2d, 14:02:ec:ca:e5:31
2, 6, 14:02:ec:ca:e5:2e, 14:02:ec:ca:e5:32
2, 7, 14:02:ec:ca:e5:2f, 14:02:ec:ca:e5:33
3, 0, 34:80:0d:bc:3d:d2, 34:80:0d:bc:3d:d6
3, 1, 34:80:0d:bc:3d:d3, 34:80:0d:bc:3d:d7
3, 2, 34:80:0d:bc:3d:d4, 34:80:0d:bc:3d:d8
3, 3, 34:80:0d:bc:3d:d5, 34:80:0d:bc:3d:d9
3, 4, 14:02:ec:ca:cd:f8, 14:02:ec:ca:cd:fc
3, 5, 14:02:ec:ca:cd:f9, 14:02:ec:ca:cd:fd
3, 6, 14:02:ec:ca:cd:fa, 14:02:ec:ca:cd:fe
3, 7, 14:02:ec:ca:cd:fb, 14:02:ec:ca:cd:ff
4, 0, 34:80:0d:bc:3b:a1, 34:80:0d:bc:3b:a5
4, 1, 34:80:0d:bc:3b:a2, 34:80:0d:bc:3b:a6
4, 2, 34:80:0d:bc:3b:a3, 34:80:0d:bc:3b:a7
4, 3, 34:80:0d:bc:3b:a4, 34:80:0d:bc:3b:a8
4, 4, 14:02:ec:ca:e5:04, 14:02:ec:ca:e5:08
4, 5, 14:02:ec:ca:e5:05, 14:02:ec:ca:e5:09
4, 6, 14:02:ec:ca:e5:06, 14:02:ec:ca:e5:0a
4, 7, 14:02:ec:ca:e5:07, 14:02:ec:ca:e5:0b
5, 0, 34:80:0d:bc:3d:17, 34:80:0d:bc:3d:1b
5, 1, 34:80:0d:bc:3d:18, 34:80:0d:bc:3d:1c
5, 2, 34:80:0d:bc:3d:19, 34:80:0d:bc:3d:1d
5, 3, 34:80:0d:bc:3d:1a, 34:80:0d:bc:3d:1e
5, 4, 14:02:ec:ca:e5:7c, 14:02:ec:ca:e5:80
5, 5, 14:02:ec:ca:e5:7d, 14:02:ec:ca:e5:81
5, 6, 14:02:ec:ca:e5:7e, 14:02:ec:ca:e5:82
5, 7, 14:02:ec:ca:e5:7f, 14:02:ec:ca:e5:83
6, 0, 14:02:ec:ca:c5:ec, 14:02:ec:ca:c5:f0
6, 1, 14:02:ec:ca:c5:ed, 14:02:ec:ca:c5:f1
6, 2, 14:02:ec:ca:c5:ee, 14:02:ec:ca:c5:f2
6, 3, 14:02:ec:ca:c5:ef, 14:02:ec:ca:c5:f3
6, 4, 14:02:ec:ca:df:8c, 14:02:ec:ca:df:90
6, 5, 14:02:ec:ca:df:8d, 14:02:ec:ca:df:91
6, 6, 14:02:ec:ca:df:8e, 14:02:ec:ca:df:92
6, 7, 14:02:ec:ca:df:8f, 14:02:ec:ca:df:93
7, 0, 14:02:ec:ca:a8:c8, 14:02:ec:ca:a8:cc
7, 1, 14:02:ec:ca:a8:c9, 14:02:ec:ca:a8:cd
7, 2, 14:02:ec:ca:a8:ca, 14:02:ec:ca:a8:ce
7, 3, 14:02:ec:ca:a8:cb, 14:02:ec:ca:a8:cf
7, 4, 14:02:ec:ca:ca:88, 14:02:ec:ca:ca:8c
7, 5, 14:02:ec:ca:ca:89, 14:02:ec:ca:ca:8d
7, 6, 14:02:ec:ca:ca:8a, 14:02:ec:ca:ca:8e
7, 7, 14:02:ec:ca:ca:8b, 14:02:ec:ca:ca:8f
8, 0, 14:02:ec:ca:e5:a4, 14:02:ec:ca:e5:a8
